Id,,dG [kcal/mol] mean
A668_out_frst.sdf,,-8.101584772
A675_out_frst.sdf,,-7.564755566
A676_out_frst.sdf,,-6.906083873
A677_out_frst.sdf,,-8.390009359
A690_out_frst.sdf,,-7.66758162
A695_out_frst.sdf,,-8.97337529
A698_out_frst.sdf,,-7.371333964
A699_out_frst.sdf,,-7.271331402
A702_out_frst.sdf,,-8.826182801
A707_out_frst.sdf,,-8.696903116
A710_out_frst.sdf,,-9.279380792
A712_out_frst.sdf,,-6.000570401
A713_out_frst.sdf,,-8.256350378
A714_out_frst.sdf,,-8.355326741
A716_out_frst.sdf,,-8.640220652
A717_out_frst.sdf,,-8.909901105
A718_out_frst.sdf,,-8.672926007
A721_out_frst.sdf,,-6.815826835
A722_out_frst.sdf,,-7.144011876
A727_out_frst.sdf,,-8.740346258
A728_out_frst.sdf,,-6.883298584
A732_out_frst.sdf,,-7.246365064
A738_out_frst.sdf,,-8.280252446
A742_out_frst.sdf,,-6.664568547
A744_out_frst.sdf,,-7.608093504
A746_out_frst.sdf,,-9.043709064
A748_out_frst.sdf,,-7.148616661
A751_out_frst.sdf,,-8.415962168
A755_out_frst.sdf,,-8.07194394
A758_out_frst.sdf,,-8.848886337
A760_out_frst.sdf,,-7.343090027
A761_out_frst.sdf,,-7.410639668
A765_out_frst.sdf,,-7.153925136
A769_out_frst.sdf,,-7.785042879
A770_out_frst.sdf,,-8.874597655
A771_out_frst.sdf,,-7.925690011
A772_out_frst.sdf,,-8.233500256
A779_out_frst.sdf,,-6.970265426
A780_out_frst.sdf,,-7.705922464
A785_out_frst.sdf,,-8.525734346
A791_out_frst.sdf,,-7.382393524
A792_out_frst.sdf,,-7.240549605
A793_out_frst.sdf,,-8.072868429
A804_out_frst.sdf,,-8.247512606
A809_out_frst.sdf,,-8.41397387
A811_out_frst.sdf,,-9.455868428
A812_out_frst.sdf,,-8.746848392
A813_out_frst.sdf,,-10.03313244
A817_out_frst.sdf,,-9.512801395
A819_out_frst.sdf,,-8.282237526
A821_out_frst.sdf,,-9.323539209
A822_out_frst.sdf,,-9.841355937
A824_out_frst.sdf,,-9.178873822
A828_out_frst.sdf,,-7.505592993
A831_out_frst.sdf,,-8.335583077
A848_out_frst.sdf,,-8.805738759
A850_out_frst.sdf,,-8.525104502
A851_out_frst.sdf,,-8.798059518
A856_out_frst.sdf,,-9.506340643
A862_out_frst.sdf,,-7.690855592
A870_out_frst.sdf,,-7.98281205
A871_out_frst.sdf,,-8.840686042
